RGN,ITM_NM,UNIT_NM,C1_NM,PRD_DE,DT,남,여,인구
강원도,검거건수,건,개인정보보호법,2020,166.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,개인정보보호법,2021,132.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,건강기능식품에 관한법률,2014,27.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,건강기능식품에 관한법률,2015,19.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,건강기능식품에 관한법률,2016,24.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,건강기능식품에 관한법률,2017,19.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,건강기능식품에 관한법률,2018,32.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,건강기능식품에 관한법률,2019,30.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,건강기능식품에 관한법률,2020,32.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,건강기능식품에 관한법률,2021,12.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,건설산업기본법,2014,94.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,건설산업기본법,2015,216.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,건설산업기본법,2016,203.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,건설산업기본법,2017,656.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,건설산업기본법,2018,734.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,건설산업기본법,2019,208.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,건설산업기본법,2020,132.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,건설산업기본법,2021,115.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,건축법,2014,487.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,건축법,2015,676.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,건축법,2016,570.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,건축법,2017,730.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,건축법,2018,446.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,건축법,2019,701.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,건축법,2020,379.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,건축법,2021,239.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,게임산업진흥에 관한법률,2014,475.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,게임산업진흥에 관한법률,2015,553.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,게임산업진흥에 관한법률,2016,740.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,게임산업진흥에 관한법률,2017,741.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,게임산업진흥에 관한법률,2018,495.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,게임산업진흥에 관한법률,2019,444.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,게임산업진흥에 관한법률,2020,366.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,게임산업진흥에 관한법률,2021,233.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,결혼중개업의 관리에 관한법률,2014,11.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,결혼중개업의 관리에 관한법률,2015,4.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,결혼중개업의 관리에 관한법률,2016,6.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,결혼중개업의 관리에 관한법률,2017,4.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,결혼중개업의 관리에 관한법률,2018,6.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,결혼중개업의 관리에 관한법률,2019,9.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,결혼중개업의 관리에 관한법률,2020,8.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,결혼중개업의 관리에 관한법률,2021,1.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,경범죄처벌법,2014,413.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,경범죄처벌법,2015,479.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,경범죄처벌법,2016,568.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,경범죄처벌법,2017,599.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,경범죄처벌법,2018,520.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,경범죄처벌법,2019,552.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,경범죄처벌법,2020,500.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,경범죄처벌법,2021,507.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,고용보험법,2014,30.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,고용보험법,2015,186.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,고용보험법,2016,137.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,고용보험법,2017,129.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,고용보험법,2018,158.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,고용보험법,2019,168.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,고용보험법,2020,205.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,고용보험법,2021,287.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,공갈,2014,319.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,공갈,2015,259.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,공갈,2016,309.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,공갈,2017,304.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,공갈,2018,288.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,공갈,2019,376.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,공갈,2020,254.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,공갈,2021,223.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,공무방해,2014,2790.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,공무방해,2015,2820.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,공무방해,2016,2734.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,공무방해,2017,2402.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,공무방해,2018,2018.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,공무방해,2019,1946.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,공무방해,2020,1976.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,공무방해,2021,1652.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,공무원범죄,2014,223.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,공무원범죄,2015,291.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,공무원범죄,2016,283.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,공무원범죄,2017,288.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,공무원범죄,2018,286.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,공무원범죄,2019,279.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,공무원범죄,2020,222.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,공무원범죄,2021,205.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,공안을 해하는죄,2014,5.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,공안을 해하는죄,2015,3.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,공안을 해하는죄,2016,17.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,공안을 해하는죄,2017,7.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,공안을 해하는죄,2019,10.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,공안을 해하는죄,2020,11.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,공안을 해하는죄,2021,7.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,공유수면관리 및 매립에 관한법률,2014,32.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,공유수면관리 및 매립에 관한법률,2015,90.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,공유수면관리 및 매립에 관한법률,2016,27.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,공유수면관리 및 매립에 관한법률,2017,136.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,공유수면관리 및 매립에 관한법률,2018,741.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,공유수면관리 및 매립에 관한법률,2019,78.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,공유수면관리 및 매립에 관한법률,2020,157.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,공유수면관리 및 매립에 관한법률,2021,30.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,공유재산 및 물품관리법,2014,14.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,공유재산 및 물품관리법,2015,19.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,공유재산 및 물품관리법,2016,10.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,공유재산 및 물품관리법,2017,14.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,공유재산 및 물품관리법,2018,7.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,공유재산 및 물품관리법,2019,10.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,공유재산 및 물품관리법,2020,22.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,공유재산 및 물품관리법,2021,7.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,공인중개사법,2014,141.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,공인중개사법,2015,141.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,공인중개사법,2016,89.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,공인중개사법,2017,95.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,공인중개사법,2018,136.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,공인중개사법,2019,77.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,공인중개사법,2020,72.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,공인중개사법,2021,77.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,공중밀집장소 추행,2014,73.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,공중밀집장소 추행,2015,69.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,공중밀집장소 추행,2016,85.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,공중밀집장소 추행,2017,106.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,공중밀집장소 추행,2018,63.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,공중밀집장소 추행,2019,77.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,공중밀집장소 추행,2020,43.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,공중밀집장소 추행,2021,35.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,공중위생법,2014,71.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,공중위생법,2015,79.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,공중위생법,2016,99.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,공중위생법,2017,134.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,공중위생법,2018,130.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,공중위생법,2019,110.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,공중위생법,2020,182.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,공중위생법,2021,102.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,공직선거법,2014,166.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,공직선거법,2015,32.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,공직선거법,2016,205.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,공직선거법,2017,70.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,공직선거법,2018,197.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,공직선거법,2019,17.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,공직선거법,2020,120.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,공직선거법,2021,14.0,774332.0,764160.0,1538492.0
